round,client_id,Li,Lg,g_pos,mu_final,mu_prev,g_raw,g_pos_clipped,mu_star,mu_smoothed,mu_bounded,warmup_active
3,1,2.4326694011688232,2.241468076705933,0.08185813049245555,0.08703152515850607,0.0619793912004525,0.08185813049245555,0.08185813049245555,0.14548650439396443,0.08703152515850607,0.08703152515850607,0
3,0,1.5298367738723755,2.241468076705933,0.0,0.0653,0.059,-0.3819699945334166,0.0,0.08,0.0653,0.0653,0
3,4,1.5305497646331787,2.241468076705933,0.0,0.0653,0.059,-0.3815040463532946,0.0,0.08,0.0653,0.0653,0
3,3,1.4666827917099,2.241468076705933,0.0,0.0653,0.059,-0.4241277936783109,0.0,0.08,0.0653,0.0653,0
4,4,1.2820788621902466,2.1703762454986575,0.0,0.06971,0.0653,-0.5264176627775078,0.0,0.08,0.06971,0.06971,0
4,0,1.0937323570251465,2.1703762454986575,0.0,0.06971,0.0653,-0.685304505170117,0.0,0.08,0.06971,0.06971,0
4,2,2.2173078060150146,2.1703762454986575,0.021393222332423575,0.09818666456224798,0.0986461302892376,0.021393222332423575,0.021393222332423575,0.09711457786593886,0.09818666456224798,0.09818666456224798,0
4,1,2.121201753616333,2.1703762454986575,0.0,0.08492206761095425,0.08703152515850607,-0.022917744448469585,0.0,0.08,0.08492206761095425,0.08492206761095425,0
4,3,1.0816940069198608,2.1703762454986575,0.0,0.06971,0.0653,-0.6963721956965583,0.0,0.08,0.06971,0.06971,0
5,4,1.043325424194336,2.0815465071678165,0.0,0.072797,0.06971,-0.6906979905143427,0.0,0.08,0.072797,0.072797,0
5,2,2.0756211280822754,2.0815465071678165,0.0,0.09273066519357359,0.09818666456224798,-0.002850682767494499,0.0,0.08,0.09273066519357359,0.09273066519357359,0
5,0,0.8480905294418335,2.0815465071678165,0.0,0.072797,0.06971,-0.8978790159897363,0.0,0.08,0.072797,0.072797,0
5,1,1.9830517768859863,2.0815465071678165,0.0,0.08344544732766797,0.08492206761095425,-0.048474170689137,0.0,0.08,0.08344544732766797,0.08344544732766797,0
5,3,0.8175169229507446,2.0815465071678165,0.0,0.072797,0.06971,-0.9345947986455378,0.0,0.08,0.072797,0.072797,0
6,4,0.8020428419113159,1.9777243988704685,0.0,0.0749579,0.072797,-0.9025401365509177,0.0,0.08,0.0749579,0.0749579,0
6,2,1.7297756671905518,1.9777243988704685,0.0,0.08891146563550151,0.09273066519357359,-0.13395516158032633,0.0,0.08,0.08891146563550151,0.08891146563550151,0
6,1,1.3771541118621826,1.9777243988704685,0.0,0.08241181312936757,0.08344544732766797,-0.3619277560096307,0.0,0.08,0.08241181312936757,0.08241181312936757,0
6,0,0.7242588996887207,1.9777243988704685,0.0,0.0749579,0.072797,-1.004553235775128,0.0,0.08,0.0749579,0.0749579,0
6,3,0.7881237864494324,1.9777243988704685,0.0,0.0749579,0.072797,-0.9200469946890723,0.0,0.08,0.0749579,0.0749579,0
7,1,1.7302135229110718,1.8601562431745533,0.0,0.0816882691905573,0.08241181312936757,-0.07241566095853805,0.0,0.08,0.0816882691905573,0.0816882691905573,0
7,0,0.500994861125946,1.8601562431745533,0.0,0.07647053,0.0749579,-1.3118199065030398,0.0,0.08,0.07647053,0.07647053,0
7,3,0.6033859848976135,1.8601562431745533,0.0,0.07647053,0.0749579,-1.1258586541185536,0.0,0.08,0.07647053,0.07647053,0
7,4,0.687621533870697,1.8601562431745533,0.0,0.07647053,0.0749579,-0.9951771652622682,0.0,0.08,0.07647053,0.07647053,0
7,2,1.4305400848388672,1.8601562431745533,0.0,0.08623802594485105,0.08891146563550151,-0.2626084296159038,0.0,0.08,0.08623802594485105,0.08623802594485105,0
8,2,1.2094595432281494,1.7429027722441677,0.0,0.08436661816139573,0.08623802594485105,-0.3653783792685185,0.0,0.08,0.08436661816139573,0.08436661816139573,0
8,0,0.5367482900619507,1.7429027722441677,0.0,0.07752937099999999,0.07647053,-1.1777779981974792,0.0,0.08,0.07752937099999999,0.07752937099999999,0
8,1,1.4035214185714722,1.7429027722441677,0.0,0.0811817884333901,0.0816882691905573,-0.21656760421873036,0.0,0.08,0.0811817884333901,0.0811817884333901,0
8,3,0.5397853851318359,1.7429027722441677,0.0,0.07752937099999999,0.07647053,-1.1721356237117533,0.0,0.08,0.07752937099999999,0.07752937099999999,0
8,4,0.5797931551933289,1.7429027722441677,0.0,0.07752937099999999,0.07647053,-1.100635839652973,0.0,0.08,0.07752937099999999,0.07752937099999999,0
9,0,0.3650829493999481,1.6265918105390837,0.0,0.07827055969999999,0.07752937099999999,-1.4941175833726317,0.0,0.08,0.07827055969999999,0.07827055969999999,0
9,1,1.177167296409607,1.6265918105390837,0.0,0.08082725190337307,0.0811817884333901,-0.32337595351615067,0.0,0.08,0.08082725190337307,0.08082725190337307,0
9,4,0.5121663808822632,1.6265918105390837,0.0,0.07827055969999999,0.07752937099999999,-1.1555926427206686,0.0,0.08,0.07827055969999999,0.07827055969999999,0
9,3,0.49326851963996887,1.6265918105390837,0.0,0.07827055969999999,0.07752937099999999,-1.193188486533,0.0,0.08,0.07827055969999999,0.07827055969999999,0
9,2,0.9480041861534119,1.6265918105390837,0.0,0.083056632712977,0.08436661816139573,-0.5398832685894321,0.0,0.08,0.083056632712977,0.083056632712977,0
10,3,0.3613942861557007,1.5151492675734017,0.0,0.07878939179,0.07827055969999999,-1.433299650742605,0.0,0.08,0.07878939179,0.07878939179,0
10,0,0.3950529098510742,1.5151492675734017,0.0,0.07878939179,0.07827055969999999,-1.3442495159072745,0.0,0.08,0.07878939179,0.07878939179,0
10,4,0.424285888671875,1.5151492675734017,0.0,0.07878939179,0.07827055969999999,-1.2728617288196433,0.0,0.08,0.07878939179,0.07878939179,0
10,1,1.0654670000076294,1.5151492675734017,0.0,0.08057907633236114,0.08082725190337307,-0.35210075706433364,0.0,0.08,0.08057907633236114,0.08057907633236114,0
10,2,0.8767472505569458,1.5151492675734017,0.0,0.0821396428990839,0.083056632712977,-0.5470504816687274,0.0,0.08,0.0821396428990839,0.0821396428990839,0
