round,median_client_loss,lg_ema,test_acc_global,train_loss_global,test_acc_personalized,train_loss_personalized,avg_mu,time_cost
60,0.0988529585301876,0.1216453807124641,0.9916609549920037,0.25617943814749483,0.9916609549920037,0.25617943814749483,0.15894989168539542,33.019086837768555
61,0.09396497905254364,0.11887734054647205,0.9916609549920037,0.2612242770032914,0.9916609549920037,0.2612242770032914,0.15973315063303323,31.373523235321045
62,0.08846554532647133,0.11583616102447197,0.991832305231894,0.26189284881591113,0.991832305231894,0.26189284881591113,0.16558383764298681,32.362772941589355
63,0.0933205857872963,0.1135846035007544,0.9917180717386338,0.27281854302401987,0.9917180717386338,0.27281854302401987,0.16093196232861454,31.72071886062622
64,0.0777934230864048,0.11000548545931944,0.9917751884852639,0.2686409183827634,0.9917751884852639,0.2686409183827634,0.1621001206489059,31.373637914657593
65,0.10021567344665527,0.10902650425805303,0.9918894219785241,0.2798481518943005,0.9918894219785241,0.2798481518943005,0.16453531167400542,33.00943565368652
66,0.09067260473966599,0.10719111430621432,0.9921750057116747,0.28445492238517256,0.9921750057116747,0.28445492238517256,0.17609570482435422,32.42820858955383
67,0.09173542261123657,0.10564554513671655,0.9919465387251543,0.2915412679229301,0.9919465387251543,0.2915412679229301,0.17602192158132557,32.34767484664917
68,0.09464767947793007,0.10454575857083791,0.9917180717386338,0.29294207259045757,0.9917180717386338,0.29294207259045757,0.1822365185040832,31.600920915603638
69,0.09517079591751099,0.10360826230550521,0.9917180717386338,0.29445002964548483,0.9917180717386338,0.29445002964548483,0.17634813117842663,31.415350198745728
70,0.09445072337985039,0.10269250841293974,0.991832305231894,0.3008370562165066,0.991832305231894,0.3008370562165066,0.170940480204794,32.10390043258667
71,0.09713856130838394,0.10213711370248416,0.9914896047521133,0.29291937396442164,0.9914896047521133,0.29291937396442164,0.1726068138327272,30.688899993896484
72,0.07971371337771416,0.09989477367000715,0.9917180717386338,0.29609837401231737,0.9917180717386338,0.29609837401231737,0.16888410812889085,26.372386932373047
73,0.08349168300628662,0.0982544646036351,0.9916038382453736,0.2928411485442451,0.9916038382453736,0.2928411485442451,0.16657420440568357,20.71580958366394
74,0.07392888516187668,0.09582190665945925,0.9914324880054832,0.28448407847917717,0.9914324880054832,0.28448407847917717,0.16950261598020705,19.974050760269165
75,0.09513035416603088,0.09575275141011641,0.9919465387251543,0.28759840664290287,0.9919465387251543,0.28759840664290287,0.17873028068561833,19.908905267715454
76,0.08442176878452301,0.09461965314755708,0.9919465387251543,0.3091321191686483,0.9919465387251543,0.3091321191686483,0.17284909045202704,20.776726245880127
77,0.082681093364954,0.09342579716929676,0.9917751884852639,0.3100293705424735,0.9917751884852639,0.3100293705424735,0.17684656040558128,20.824557304382324
