round,test_acc,train_loss,mu,time_cost
109,0.29990671641791045,2.481366960567896,0.0,17.849833726882935
110,0.3000399786780384,2.4733851539395544,0.0,15.820789575576782
111,0.3023720682302772,2.4580035199033414,0.0,18.422298908233643
112,0.30310501066098083,2.452071080178082,0.0,15.794771909713745
113,0.3040378464818763,2.439927163514987,0.0,17.17632246017456
114,0.30557036247334757,2.4318704696454723,0.0,16.31311321258545
115,0.30750266524520253,2.4201615951087274,0.0,17.873287200927734
116,0.30497068230277186,2.4162515807613865,0.0,15.717540264129639
117,0.30437100213219614,2.4079981842745277,0.0,17.983739376068115
118,0.306636460554371,2.3984573113942207,0.0,15.790053606033325
119,0.30730277185501065,2.393283218895574,0.0,17.50144934654236
120,0.3091684434968017,2.380131205927691,0.0,16.61055898666382
121,0.30730277185501065,2.370490283978944,0.0,17.370170831680298
122,0.30756929637526653,2.3641725881749256,0.0,15.748417615890503
123,0.30736940298507465,2.3620075646793692,0.0,18.028697729110718
124,0.30850213219616207,2.348166293982648,0.0,16.065842151641846
125,0.30970149253731344,2.337197221116835,0.0,17.64034366607666
126,0.30943496801705755,2.3307116307562192,0.0,16.987873315811157
127,0.3109008528784648,2.321093284889913,0.0,17.631596088409424
128,0.3111673773987207,2.309944478320661,0.0,16.549268007278442
129,0.31043443496801704,2.302345829595301,0.0,17.964146852493286
130,0.3125,2.2913893744578524,0.0,15.896926879882812
131,0.31243336886993606,2.2843076495238366,0.0,16.96446394920349
132,0.31236673773987206,2.2815695961219054,0.0,16.28427481651306
133,0.3134994669509595,2.2693670240535213,0.0,16.86009645462036
134,0.3138992537313433,2.2596406030824863,0.0,15.797530889511108
135,0.3132995735607676,2.2518957794097676,0.0,17.93463110923767
136,0.3130996801705757,2.2405394023073946,0.0,15.635560989379883
137,0.31396588486140725,2.2352578787900312,0.0,16.475608110427856
138,0.314432302771855,2.222723657595179,0.0,16.704493522644043
139,0.314432302771855,2.215614852700262,0.0,16.64812707901001
140,0.31556503198294245,2.209612074249384,0.0,15.497652292251587
141,0.31529850746268656,2.199990202666763,0.0,17.45793890953064
142,0.3170309168443497,2.1894758576458773,0.0,16.2875394821167
143,0.31716417910447764,2.180016909922436,0.0,16.957322597503662
144,0.3188299573560768,2.1813254278575585,0.0,17.10034418106079
145,0.3167643923240938,2.1672686115222617,0.0,17.058799743652344
146,0.3193630063965885,2.157643666230748,0.0,16.066282272338867
147,0.3180970149253731,2.147289401041848,0.0,17.83330464363098
148,0.3177638592750533,2.144780840074918,0.0,16.536447048187256
149,0.32062899786780386,2.1281020643185813,0.0,16.59698462486267
150,0.3210287846481876,2.1219879872125995,0.0,16.707020044326782
151,0.31863006396588484,2.117273534584428,0.0,16.912625551223755
152,0.318363539445629,2.109352000985493,0.0,16.16963028907776
153,0.3189632196162047,2.0995048951614033,0.0,17.756258249282837
154,0.3193630063965885,2.094440906795103,0.0,16.43654155731201
155,0.3181636460554371,2.0788613581450273,0.0,16.34900999069214
156,0.31929637526652455,2.0798356736734043,0.0,17.36851739883423
157,0.3195628997867804,2.068489209159389,0.0,16.75094699859619
158,0.3208955223880597,2.059783493624044,0.0,16.532713651657104
159,0.31849680170575695,2.0547662644907847,0.0,17.70643448829651
160,0.3189632196162047,2.0465365423075896,0.0,16.53197956085205
161,0.3209621535181237,2.0348991547257045,0.0,16.999025106430054
162,0.32189498933901917,2.0203521758165253,0.0,17.239964246749878
163,0.32142857142857145,2.014877598743498,0.0,17.07929563522339
164,0.3208955223880597,2.0110061136272495,0.0,16.329459190368652
165,0.32236140724946694,2.005284882794778,0.0,17.01816439628601
166,0.3220282515991471,1.989698363242741,0.0,16.438815355300903
167,0.32156183368869934,1.986435456414296,0.0,16.24900197982788
168,0.3209621535181237,1.978252112872087,0.0,17.867956399917603
169,0.3212286780383795,1.9757956584675271,0.0,17.25377583503723
170,0.3220948827292111,1.9603455252107254,0.0,17.163485765457153
171,0.3236273987206823,1.94927815398864,0.0,17.6939857006073
172,0.32322761194029853,1.942565502236643,0.0,17.544408559799194
173,0.3236273987206823,1.935158711030505,0.0,16.990874528884888
174,0.32349413646055436,1.931235885628084,0.0,18.09032940864563
175,0.32269456289978676,1.9261768993581954,0.0,17.049946784973145
