round,median_client_loss,lg_ema,test_acc_global,train_loss_global,test_acc_personalized,train_loss_personalized,avg_mu,time_cost
42,0.42437103390693665,0.5330773755041021,0.9677271948363512,0.44179486757987696,0.9677271948363512,0.44179486757987696,0.22184922453885067,39.836968183517456
43,0.47411341965198517,0.5271809799188903,0.9701833552293369,0.43894907054106624,0.9701833552293369,0.43894907054106624,0.21906289469187729,40.807135581970215
44,0.4136418253183365,0.515827064458835,0.9709259153481464,0.44589652659283,0.9709259153481464,0.44589652659283,0.21470681058328175,39.68908667564392
45,0.4730434864759445,0.511548706660546,0.9698406351745016,0.44917328933215145,0.9698406351745016,0.44917328933215145,0.22421674898612914,40.97231698036194
46,0.43193888664245605,0.503587724658737,0.9691551950648312,0.4646686818639051,0.9691551950648312,0.4646686818639051,0.22290371642058524,39.457536697387695
47,0.4114716947078705,0.4943761216636504,0.9708687953390073,0.46079573794372025,0.9708687953390073,0.46079573794372025,0.22528046825483883,39.79851460456848
48,0.41597943007946014,0.48653645250523136,0.970526075284172,0.46247301532882834,0.970526075284172,0.46247301532882834,0.2275481522226533,41.00380516052246
49,0.39691829681396484,0.4775746369361047,0.9696121551379449,0.4651285313429484,0.9696121551379449,0.4651285313429484,0.2228393107392191,38.504631757736206
50,0.46768638491630554,0.4765858117341248,0.9703547152567544,0.46817900673154883,0.9703547152567544,0.46817900673154883,0.2258419218686422,38.993430852890015
51,0.4091212898492813,0.46983935954564043,0.9701262352201976,0.4876412842362306,0.9701262352201976,0.4876412842362306,0.23962726133098275,40.77130603790283
52,0.4457880109548569,0.4674342246865621,0.9700691152110584,0.4983214568023326,0.9700691152110584,0.4983214568023326,0.235438778319026,39.98546242713928
53,0.39640918374061584,0.4603317205919675,0.9707545553207289,0.4936270503850753,0.9707545553207289,0.4936270503850753,0.23200196740355258,39.573585510253906
54,0.4250022768974304,0.4567987762225138,0.9703547152567544,0.500551894516111,0.9703547152567544,0.500551894516111,0.23347456789846227,38.50744032859802
55,0.4413978308439255,0.45525868168465494,0.9708687953390073,0.5052878803164307,0.9708687953390073,0.5052878803164307,0.24355115694761276,37.84093475341797
56,0.44311971962451935,0.45404478547864136,0.9713257554121209,0.5112940713925299,0.9713257554121209,0.5112940713925299,0.24230379009322522,39.970033407211304
57,0.3849804997444153,0.44713835690521875,0.9716684754669561,0.5171013057084057,0.9716684754669561,0.5171013057084057,0.24279723863061392,39.43721270561218
58,0.3701969236135483,0.43944421357605173,0.9697263951562233,0.5322401232617976,0.9697263951562233,0.5322401232617976,0.24518814049566373,39.63168454170227
59,0.42428241670131683,0.4379280338885782,0.9709830353572857,0.5474888955652885,0.9709830353572857,0.5474888955652885,0.24523048954770615,40.409218549728394
60,0.4066120535135269,0.4347964358510731,0.9721254355400697,0.5453127105456458,0.9721254355400697,0.5453127105456458,0.24116818733571402,38.523741245269775
61,0.48326076567173004,0.43964286883313874,0.9706403153024504,0.5438794209555209,0.9706403153024504,0.5438794209555209,0.24737279453410185,38.7019579410553
62,0.3583780974149704,0.4315163916913219,0.9719540755126521,0.5454023402938404,0.9719540755126521,0.5454023402938404,0.24297778943415746,39.672526836395264
63,0.3718958795070648,0.4255543404728962,0.9706403153024504,0.5486058131232786,0.9706403153024504,0.5486058131232786,0.23278852691866786,37.72561836242676
64,0.38309216499328613,0.4213081229249352,0.9722967955674873,0.5452207814666793,0.9722967955674873,0.5452207814666793,0.23419410735016583,39.6242094039917
65,0.40511587262153625,0.4196888978945953,0.970811675329868,0.5531298914237278,0.970811675329868,0.5531298914237278,0.2384227804944404,38.21958804130554
66,0.36965978145599365,0.41468598625073516,0.9714971154395384,0.5575048489109793,0.9714971154395384,0.5575048489109793,0.24551023227609653,39.25551080703735
67,0.3819209337234497,0.4114094809980066,0.9708687953390073,0.557404282361559,0.9708687953390073,0.557404282361559,0.24890498685608037,38.57347011566162
68,0.39592093229293823,0.40986062612749974,0.9716113554578168,0.5630443914260511,0.9716113554578168,0.5630443914260511,0.24769595517310555,37.55946087837219
69,0.383599191904068,0.4072344827051566,0.9726966356314617,0.5682797791467235,0.9726966356314617,0.5682797791467235,0.2379485628856972,38.824244022369385
70,0.36146993935108185,0.4026580283697491,0.9722967955674873,0.5613097327398312,0.9722967955674873,0.5613097327398312,0.24085331126278317,38.19290065765381
71,0.34985196590423584,0.3973774221231978,0.9718398354943737,0.5676012296720762,0.9718398354943737,0.5676012296720762,0.23378279350292647,38.065558671951294
72,0.3699582666158676,0.39463550657246477,0.9715542354486777,0.5683446443278788,0.9715542354486777,0.5683446443278788,0.23824504697618926,39.358055114746094
73,0.3603643476963043,0.3912083906848487,0.9713828754212601,0.5858601691118521,0.9713828754212601,0.5858601691118521,0.24520507317885848,37.67457604408264
74,0.3858341723680496,0.3906709688531688,0.9712686354029817,0.5825408633042783,0.9712686354029817,0.5825408633042783,0.24421154165993525,38.619706869125366
75,0.400830015540123,0.3916868735218642,0.9724681555949048,0.5710821148975503,0.9724681555949048,0.5710821148975503,0.2466769142768702,38.26303434371948
76,0.39075005054473877,0.39159319122415165,0.9718398354943737,0.5745647976420531,0.9718398354943737,0.5745647976420531,0.2423697923057849,37.61017036437988
77,0.3748055398464203,0.3899144260863785,0.9728108756497401,0.5855668097069144,0.9728108756497401,0.5855668097069144,0.24735853937050062,39.09803056716919
78,0.3783736079931259,0.38876034427705325,0.9704118352658937,0.588791373920245,0.9704118352658937,0.588791373920245,0.24220884294402012,38.05127787590027
79,0.3663279265165329,0.38651710250100124,0.9721825555492088,0.5804619738969655,0.9721825555492088,0.5804619738969655,0.2460897681202391,38.17948389053345
80,0.36015963554382324,0.38388135580528343,0.9714971154395384,0.5819206343701814,0.9714971154395384,0.5819206343701814,0.24058302746280194,39.08741855621338
81,0.37290556728839874,0.38278377695359495,0.9714399954303993,0.5836712300032519,0.9714399954303993,0.5836712300032519,0.2390930281404942,37.73298954963684
82,0.34477637708187103,0.37898303696642255,0.9722396755583481,0.5824066245318187,0.9722396755583481,0.5824066245318187,0.23780367062303406,38.443734645843506
83,0.3356964737176895,0.3746543806415492,0.9721825555492088,0.5956742932774415,0.9721825555492088,0.5956742932774415,0.24194514574078269,38.279263734817505
84,0.3233461230993271,0.369523554887327,0.9721825555492088,0.5937012129841222,0.9721825555492088,0.5937012129841222,0.23129252142957749,37.78656029701233
85,0.3950318694114685,0.37207438633974116,0.9713828754212601,0.5857417455209255,0.9713828754212601,0.5857417455209255,0.23832086369270655,39.58823323249817
86,0.3506507873535156,0.36993202644111856,0.9724110355857657,0.5968977409967414,0.9724110355857657,0.5968977409967414,0.2402390398208861,37.35095429420471
87,0.3556123524904251,0.3685000590460492,0.9713828754212601,0.5971879328373074,0.9713828754212601,0.5971879328373074,0.24544553988889942,38.6141722202301
88,0.3551776707172394,0.36716782021316824,0.971097275375564,0.6130939434074396,0.971097275375564,0.6130939434074396,0.2490328757575376,38.2078378200531
89,0.3508621007204056,0.36553724826389195,0.9717827154852344,0.6088762860180107,0.9717827154852344,0.6088762860180107,0.25166477126512254,37.46911430358887
90,0.3992673456668854,0.3689102580041913,0.9717255954760953,0.62121284448152,0.9717255954760953,0.62121284448152,0.26225409644810804,38.79774045944214
91,0.35846875607967377,0.36786610781173956,0.9725252756040441,0.6406035761902792,0.9725252756040441,0.6406035761902792,0.25023814586356136,38.21715974807739
92,0.39007018506526947,0.37008651553709254,0.9718398354943737,0.6313420053520996,0.9718398354943737,0.6313420053520996,0.25049168815618955,38.0892653465271
93,0.3316439092159271,0.366242254904976,0.9724110355857657,0.6451916077242306,0.9724110355857657,0.6451916077242306,0.2452267369876111,39.392783403396606
94,0.28352513909339905,0.3579705433238183,0.9725252756040441,0.6348332846876639,0.9725252756040441,0.6348332846876639,0.23994521711352426,37.3987979888916
95,0.37524211406707764,0.3596977003981442,0.9728679956588793,0.6312457285402068,0.9728679956588793,0.6312457285402068,0.2475712952419304,38.525004625320435
96,0.3701027035713196,0.36073820071546175,0.9716684754669561,0.6348581601959948,0.9716684754669561,0.6348581601959948,0.24961669292314054,38.10993671417236
97,0.37969641387462616,0.3626340220313782,0.9724681555949048,0.6420172627384803,0.9724681555949048,0.6420172627384803,0.2534246603762495,37.357683420181274
98,0.2938879281282425,0.35575941264106464,0.9722396755583481,0.6518672239124218,0.9722396755583481,0.6518672239124218,0.25216889331630193,39.09083843231201
99,0.3458152860403061,0.35476499998098876,0.9716113554578168,0.6527902756260907,0.9716113554578168,0.6527902756260907,0.24818958538777366,38.215028285980225
